District,Taluka,Infant Mortality Rate,Normalized IMR,Maternal Mortality Rate,Normalized MMR,ANC_IMR,ANC_MMR,Stress (ANC-20%),Stress (ANC+20%)
Raichur,Sirivara,35.80,0.6301835917,14.8609917,0.9606171853,10.82,7.5492,0.3328315008,0.332969932
Uttara Kannada,Sirsi,1.11,0.9885760877,24.46820196,0.9262914196,15.08,6.8516,0.2072010999,0.2285521851
Kodagu,somawarpet,42.58,0.5601899723,16.74265169,0.9538941702,11.41,5.5739,0.3011434199,0.3011914761
Ballari,Sonduru,33.88,0.6500194539,89.99966829,0.6921529235,22.04,9.0787,0.1860033433,0.1852886769
Shivamogga,Soraba,3.47,0.9641602752,19.99888699,0.9422599114,12.14,8.4241,0.05545836006,0.06360106695
Chikkamagaluru,Sringeri,4.52,0.953308803,13.66835765,0.9648783679,10.99,10.3341,0.246700143,0.2489140488
Kolara,Srinivaspura,23.05,0.7619428917,16.00660908,0.9565239894,3.85,0.9787,0.1529833098,0.1527669713
Mandya,Srirangapatna,7.16,0.9260805677,50.91126949,0.8318125316,12.07,1.5966,0.1178076006,0.11389796
Dakshina Kannada,Sulya,6.76,0.9301946814,53.00284897,0.8243394916,8.62,3.7589,0.1655128016,0.1731590045
Mysuru,T.Narasipura,3.58,0.9630402839,70.96379522,0.7601665197,14.93,5.2881,0.2016902907,0.1934332141
Vijayapura,Talikote,18.12,0.8127837312,58.62746609,0.8042432009,29.81,25.7258,0.3336675839,0.3337385002
Chikkamagaluru,Tarikere,13.17,0.8639135785,13.66835765,0.9648783679,10.30,6.8249,0.1115070915,0.1134372074
Shivamogga,Thirthahalli,3.79,0.960859248,19.99888699,0.9422599114,10.87,6.0964,0.138779077,0.1414389534
Vijayapura,Tikota,18.12,0.8127837312,41.04314984,0.867070505,20.75,12.9946,0.1178784437,0.119975707
Tumakuru,Tiptur,57.98,0.4010665075,56.32704322,0.8124624211,18.18,5.6131,0.2761892946,0.2899378066
Tumakuru,Tumkur,23.12,0.7612180019,88.50192256,0.6975042448,5.97,3.1296,0.06272537479,0.06501395337
Tumakuru,Turuvekere,30.10,0.6891014881,56.32704322,0.8124624211,8.89,3.6476,0.1252407956,0.1233577405
Udupi,Udupi,2.31,0.9761068502,56.55633225,0.8116431904,15.13,8.281,0.07854376571,0.08011064356
Yadgir,Vadagera,23.26,0.7597562693,82.8784643,0.7175963949,14.23,8.6228,0.145662083,0.1523006023
Kodagu,Virajpet,18.34,0.8105036776,50.22803786,0.8342536616,9.27,1.7898,0.1103477509,0.110592246
Yadgir,Yadgir,42.41,0.5618734342,6.865923355,0.9891829017,30.73,8.2551,0.4193313926,0.4269700879
Kalburgi,Yadrami,33.76,0.6513116563,52.2409803,0.8270615851,29.58,13.1826,0.2372604739,0.2461052672
Chamarajanagara,Yalandur,18.63,0.8075406781,40.64756419,0.8684838998,14.57,5.356,0.4016244559,0.3967700771
Bengaluru (Urban),Yelahanka,45.16,0.5335412666,5.99263843,0.9923030763,3.10,7.1695,0.3046016609,0.3076051282
Koppal,yelburga,26.64,0.7248132439,42.70520558,0.8611321177,35.73,19.6229,0.2127193395,0.2071416526
Uttara Kannada,Yellapur,11.44,0.8818284631,15.95917854,0.9566934548,40.24,12.8691,0.1990439952,0.173603759
